        CG/HBCS        CG/ScaleStar
1        0.00        0.00
2        18.00        0.00
3        19.11        0.00
4        0.00        0.00
5        1.93        0.00
6        22.14        -3.91
7        0.00        0.00
8        32.20        9.56
9        12.39        0.00
10        14.93        0.00
11        19.14        4.94
12        3.19        0.00
13        4.78        1.65
14        0.00        5.44
15        3.48        0.00
16        0.63        1.80
17        4.43        5.56
18        6.26        7.36
19        6.26        7.36
20        0.00        12.15
