        CG/HBCS        CG/ScaleStar
1        33.75        0.14
2        41.00        -0.01
3        30.31        1.46
4        6.49        11.83
5        -0.23        18.05
6        1.54        22.94
7        3.59        26.43
8        4.80        29.05
9        5.92        31.10
10        6.76        32.77
11        7.63        34.14
12        8.06        35.29
13        8.20        36.23
14        8.87        37.08
15        9.18        37.83
16        9.31        38.47
17        9.41        39.06
18        9.72        39.58
19        9.91        40.06
20        0.00        40.45
