        CG/HBCS        CG/ScaleStar
1        32.25        -0.28
2        32.96        0.25
3        31.22        0.02
4        11.67        0.09
5        7.56        4.54
6        0.10        10.92
7        1.79        15.93
8        4.78        19.82
9        6.60        22.64
10        8.25        25.14
11        8.53        26.98
12        9.11        28.74
13        9.65        30.17
14        10.40        31.44
15        11.09        32.54
16        11.69        33.44
17        12.15        34.35
18        12.66        35.08
19        12.98        35.75
20        0.00        36.39
