        CG/HBCS        CG/ScaleStar
1        31.90        -0.02
2        34.92        0.19
3        29.57        0.04
4        9.32        -0.20
5        8.49        4.61
6        -0.73        10.78
7        2.04        16.02
8        4.76        19.94
9        6.07        22.62
10        7.81        25.21
11        8.06        26.97
12        9.31        28.87
13        9.42        30.22
14        10.33        31.49
15        11.34        32.59
16        11.52        33.43
17        12.28        34.38
18        12.17        35.15
19        12.58        35.85
20        0.00        36.45
