        CG/HBCS        CG/ScaleStar
1        25.39        -0.46
2        30.53        0.00
3        31.06        -4.43
4        24.73        0.14
5        -3.05        -7.99
6        0.81        4.28
7        -7.69        0.16
8        4.60        14.34
9        -7.42        7.08
10        6.36        20.66
11        -4.26        12.34
12        9.72        25.00
13        -2.37        15.62
14        11.83        28.16
15        -1.60        18.08
16        12.91        30.57
17        7.14        26.47
18        13.66        32.48
19        10.60        31.06
20        0.00        34.00
