        CG/HBCS        CG/ScaleStar
1        32.63        0.14
2        35.28        0.44
3        26.70        0.19
4        11.66        -1.40
5        5.38        7.49
6        0.34        13.97
7        2.75        18.15
8        5.14        21.96
9        6.28        24.77
10        7.05        26.86
11        7.49        28.83
12        8.43        30.34
13        9.76        31.64
14        10.39        32.88
15        10.91        33.82
16        11.29        34.74
17        11.24        35.57
18        11.56        36.22
19        11.74        36.87
20        0.00        37.48
