        CG/HBCS        CG/ScaleStar
1        18.67        0.76
2        21.25        0.27
3        14.18        0.23
4        21.02        -0.16
5        20.47        0.07
6        13.87        -0.08
7        0.60        1.35
8        2.15        5.92
9        4.48        10.14
10        6.79        13.85
11        8.60        16.60
12        10.45        19.01
13        11.19        21.18
14        11.99        22.91
15        12.38        24.67
16        13.16        25.92
17        12.86        27.14
18        13.41        28.33
19        14.38        29.35
20        0.00        30.36
