        CG/HBCS        CG/ScaleStar
1        33.02        0.06
2        37.30        -0.34
3        31.23        -0.26
4        17.29        7.28
5        0.14        14.89
6        1.11        20.17
7        2.96        23.64
8        5.04        26.66
9        6.31        28.96
10        7.13        30.81
11        7.61        32.35
12        8.19        33.61
13        8.74        34.74
14        9.51        35.74
15        9.78        36.55
16        10.23        37.23
17        10.37        37.88
18        10.27        38.46
19        10.60        39.02
20        0.00        39.46
