        CG/HBCS        CG/ScaleStar
1        32.22        -0.10
2        35.47        0.24
3        23.45        0.06
4        19.27        2.44
5        2.99        10.61
6        1.25        16.31
7        3.39        20.66
8        5.04        23.81
9        6.05        26.43
10        7.19        28.52
11        8.09        30.18
12        8.75        31.68
13        9.78        32.94
14        9.87        33.92
15        10.43        34.91
16        10.44        35.76
17        10.97        36.50
18        11.25        37.14
19        11.73        37.75
20        0.00        38.30
