        CG/HBCS        CG/ScaleStar
1        32.58        23.27
2        26.03        15.06
3        28.45        10.55
4        33.41        13.35
5        45.83        22.00
6        23.83        23.83
7        17.67        0.00
8        9.21        4.05
9        16.28        11.52
10        10.01        13.98
11        7.34        10.81
12        3.87        3.93
13        7.07        9.31
14        3.56        12.58
15        7.97        16.58
16        4.35        13.29
17        7.97        16.58
18        11.12        19.43
19        11.12        19.43
20        0.00        19.43
