        CG/HBCS        CG/ScaleStar
1        30.83        -17.30
2        30.69        -16.56
3        27.41        7.41
4        4.95        19.40
5        0.22        24.70
6        2.36        28.38
7        3.75        31.10
8        4.58        33.17
9        3.85        33.55
10        2.79        33.81
11        6.56        37.16
12        7.09        38.12
13        7.47        38.92
14        7.62        39.58
15        7.95        40.17
16        8.07        40.68
17        7.81        40.83
18        8.34        41.46
19        8.36        41.81
20        0.00        42.23
