        CG/HBCS        CG/ScaleStar
1        21.20        0.82
2        19.25        0.24
3        30.68        1.03
4        29.27        0.10
5        13.74        0.36
6        0.94        0.05
7        1.53        5.78
8        3.96        10.37
9        5.61        14.55
10        7.23        17.50
11        8.23        20.23
12        9.16        22.34
13        10.08        24.23
14        10.95        25.88
15        12.19        27.22
16        12.65        28.51
17        12.99        29.54
18        14.05        30.64
19        14.41        31.54
20        0.00        32.38
