        CG/HBCS        CG/ScaleStar
1        32.43        -0.16
2        34.22        0.22
3        30.44        0.04
4        8.02        0.04
5        4.31        4.67
6        0.44        10.98
7        2.13        16.05
8        4.47        19.97
9        6.07        22.70
10        7.88        25.33
11        8.14        27.12
12        9.74        28.93
13        9.66        30.27
14        10.25        31.55
15        11.02        32.68
16        11.65        33.59
17        12.36        34.47
18        12.25        35.25
19        12.94        35.95
20        0.00        36.58
