        CG/HBCS        CG/ScaleStar
1        35.14        0.05
2        40.18        0.03
3        27.74        3.34
4        4.52        13.59
5        1.01        20.03
6        2.35        24.45
7        3.51        27.63
8        3.75        29.39
9        5.51        31.73
10        5.88        32.90
11        5.51        33.52
12        5.61        34.55
13        8.08        36.73
14        8.78        37.72
15        8.99        38.41
16        8.96        39.04
17        9.17        39.59
18        9.51        40.08
19        9.68        40.52
20        9.81        40.90
