        CG/HBCS        CG/ScaleStar
1        37.25        0.22
2        40.82        0.01
3        26.82        5.22
4        16.58        15.07
5        0.31        21.24
6        1.85        25.54
7        3.04        28.60
8        4.85        30.95
9        5.89        32.85
10        6.37        34.34
11        7.08        35.58
12        7.58        36.64
13        8.02        37.51
14        8.03        38.29
15        8.42        38.95
16        8.75        39.55
17        8.97        40.05
18        9.27        40.52
19        9.38        40.97
20        0.00        41.32
