        CG/HBCS        CG/ScaleStar
1        41.19        0.23
2        40.42        -0.74
3        30.29        9.66
4        1.75        18.99
5        0.10        24.74
6        2.42        28.45
7        3.57        31.15
8        4.64        33.20
9        5.31        34.83
10        5.88        36.13
11        6.42        37.25
12        6.94        38.17
13        7.49        38.97
14        7.71        39.65
15        7.87        40.23
16        7.89        40.73
17        8.14        41.19
18        8.28        41.60
19        8.28        41.96
20        8.39        42.30
