        CG/HBCS        CG/ScaleStar
1        33.08        0.06
2        40.09        -0.01
3        31.92        1.38
4        7.26        11.55
5        -0.01        18.07
6        1.45        22.84
7        3.52        26.39
8        4.73        29.01
9        5.63        31.14
10        6.76        32.78
11        7.54        34.16
12        8.18        35.28
13        8.41        36.25
14        8.99        37.13
15        9.07        37.87
16        9.19        38.50
17        9.33        39.09
18        9.64        39.62
19        9.74        40.11
20        0.00        40.50
