        CG/HBCS        CG/ScaleStar
1        40.49        0.03
2        41.56        0.10
3        30.81        8.46
4        8.31        17.69
5        -0.18        23.49
6        1.73        27.51
7        3.86        30.42
8        4.81        32.65
9        5.39        34.35
10        6.33        35.72
11        6.88        36.83
12        7.03        37.77
13        7.34        38.58
14        7.73        39.26
15        7.95        39.88
16        8.15        40.44
17        8.44        40.90
18        8.73        41.35
19        8.78        41.73
20        0.00        42.06
