        CG/HBCS        CG/ScaleStar
1        32.86        0.58
2        36.79        3.26
3        34.08        1.29
4        15.46        10.43
5        1.39        17.53
6        3.41        22.16
7        1.58        26.20
8        2.58        29.34
9        2.94        31.52
10        4.53        33.11
11        5.32        34.66
12        7.36        36.12
13        8.81        37.43
14        10.11        38.48
15        9.81        39.13
16        9.21        39.60
17        9.98        40.90
18        9.92        41.42
19        10.29        41.86
20        0.00        42.01
