        CG/HBCS        CG/ScaleStar
1        38.95        4.14
2        43.66        4.33
3        38.87        0.05
4        17.36        8.06
5        14.13        15.75
6        0.27        21.36
7        1.82        24.54
8        3.93        26.93
9        4.79        30.05
10        6.31        32.39
11        5.34        33.26
12        6.38        34.77
13        8.20        36.66
14        8.54        37.24
15        8.46        37.60
16        9.30        38.67
17        8.93        38.91
18        8.69        39.72
19        8.98        39.96
20        0.00        40.00
