        CG/HBCS        CG/ScaleStar
1        39.02        7.84
2        41.97        -0.07
3        33.99        2.28
4        13.45        10.78
5        4.23        19.16
6        1.75        24.25
7        2.69        27.48
8        2.63        30.07
9        3.90        32.52
10        4.81        33.95
11        6.07        35.59
12        7.98        36.97
13        8.45        37.99
14        8.54        38.85
15        9.43        39.49
16        10.34        40.47
17        9.93        41.33
18        10.12        41.60
19        10.50        42.34
20        0.00        42.40
