        CG/HBCS        CG/ScaleStar
1        41.66        7.04
2        43.73        5.71
3        40.48        4.99
4        20.52        10.41
5        12.20        18.34
6        -0.19        23.92
7        0.43        27.78
8        0.21        29.32
9        3.61        32.42
10        6.55        34.58
11        7.86        35.69
12        8.65        37.31
13        8.79        38.29
14        8.16        38.96
15        9.04        40.18
16        7.68        40.43
17        7.83        41.24
18        8.00        41.94
19        8.35        42.22
20        0.00        42.42
