        CG/HBCS        CG/ScaleStar
1        30.08        -7.95
2        24.67        -23.62
3        27.89        -4.71
4        19.37        9.13
5        2.38        18.20
6        -3.55        21.04
7        -18.93        13.22
8        -17.58        16.25
9        2.05        31.13
10        -15.31        19.74
11        5.66        35.07
12        -14.12        22.87
13        -13.82        23.56
14        6.50        38.11
15        6.75        38.85
16        -13.68        25.86
17        9.25        40.87
18        -12.41        27.18
19        9.45        41.99
20        8.76        42.28
