        CG/HBCS        CG/ScaleStar
1        19.51        4.74
2        41.02        13.93
3        32.04        9.94
4        34.00        1.95
5        35.78        17.19
6        29.47        11.49
7        25.21        3.16
8        -3.18        -3.18
9        12.37        7.57
10        5.37        13.53
11        -1.61        13.60
12        -5.33        12.94
13        0.88        19.48
14        0.42        19.10
15        3.79        21.84
16        7.47        24.84
17        9.08        26.14
18        11.29        27.94
19        11.29        27.94
20        0.00        27.87
