        CG/HBCS        CG/ScaleStar
1        4.57        1.27
2        26.47        17.21
3        35.40        0.23
4        29.05        1.69
5        41.25        11.73
6        45.28        17.86
7        18.55        -2.40
8        7.51        8.34
9        -2.53        -1.56
10        1.56        7.24
11        5.44        14.08
12        2.70        11.89
13        3.03        12.19
14        7.78        19.56
15        7.51        19.33
16        7.47        20.71
17        10.49        21.92
18        -31.75        -8.85
19        9.32        25.09
20        0.00        24.98
