        CG/HBCS        CG/ScaleStar
1        21.83        -0.57
2        18.40        -3.70
3        34.00        2.12
4        38.18        2.53
5        26.00        0.16
6        45.29        1.81
7        19.89        -4.83
8        21.06        3.12
9        15.78        5.83
10        28.31        12.07
11        9.16        12.67
12        8.10        12.53
13        0.75        17.29
14        6.73        23.02
15        5.88        22.32
16        5.88        22.32
17        7.26        23.46
18        10.50        26.14
19        12.74        27.96
20        0.00        27.87
