Bd        CG/HBCS        CG/ScaleStar
1        29.77        17.03
2        28.86        2.58
3        27.02        1.76
4        34.43        12.99
5        26.53        0.67
6        16.88        0.10
7        13.75        4.71
8        2.11        5.39
9        2.58        10.30
10        5.10        15.09
11        6.15        17.36
12        6.57        18.90
13        8.87        21.70
14        9.82        23.92
15        10.92        25.54
16        11.04        26.42
17        11.57        27.43
18        12.78        29.58
19        12.91        29.92
20        1.31        30.20
