Bd        CG/HBCS        CG/ScaleStar
1        8.62        1.39
2        10.88        3.31
3        24.36        2.47
4        19.92        0.59
5        17.29        3.57
6        5.15        -2.73
7        17.65        -1.46
8        10.18        -1.98
9        15.76        1.00
10        11.96        1.15
11        11.50        3.48
12        8.18        1.09
13        2.30        -2.85
14        5.31        4.20
15        4.35        5.32
16        5.30        7.49
17        6.94        8.05
18        4.25        9.36
19        5.65        10.82
20        0.00        15.34
