Bd        CG/HBCS        CG/ScaleStar
1        33.54        2.38
2        45.37        14.58
3        38.00        1.19
4        31.46        5.00
5        10.93        10.13
6        1.62        16.49
7        1.37        21.22
8        2.52        23.90
9        4.11        26.98
10        4.70        28.91
11        6.12        31.14
12        7.05        32.49
13        8.26        34.21
14        8.54        34.91
15        9.27        36.26
16        9.83        36.79
17        10.70        37.84
18        10.50        38.17
19        11.19        39.06
20        1.03        39.06
