Bd        CG/HBCS        CG/ScaleStar
1        37.63        5.10
2        40.74        2.31
3        34.38        2.36
4        17.47        9.82
5        8.55        17.68
6        1.09        22.77
7        1.76        26.19
8        2.37        28.60
9        4.23        31.20
10        6.13        33.39
11        6.71        34.73
12        7.49        35.95
13        8.48        37.22
14        8.40        37.93
15        8.81        38.69
16        8.89        39.34
17        9.52        40.20
18        9.80        40.81
19        10.01        41.21
20        1.91        41.33
