Bd        CG/HBCS        CG/ScaleStar
1        50.72        16.02
2        47.14        4.83
3        36.86        16.99
4        14.46        24.33
5        -0.93        29.03
6        0.40        32.63
7        2.10        35.35
8        3.37        37.28
9        3.99        38.66
10        4.71        39.80
11        5.42        40.84
12        5.76        41.64
13        6.22        42.41
14        6.62        43.04
15        6.83        43.51
16        7.01        43.99
17        7.16        44.44
18        7.23        44.79
19        7.27        45.10
20        0.77        45.30
