Bd        CG/HBCS        CG/ScaleStar
1        19.48        7.02
2        29.26        1.56
3        24.59        3.55
4        25.32        5.99
5        23.55        8.51
6        16.08        -0.34
7        11.48        -0.25
8        9.19        5.13
9        3.47        7.42
10        2.20        8.77
11        3.09        11.51
12        5.49        15.51
13        7.56        18.04
14        9.54        20.79
15        8.60        21.14
16        10.93        24.22
17        12.01        25.54
18        13.86        27.46
19        14.12        27.94
20        2.76        27.97
