Bd        CG/HBCS        CG/ScaleStar
1        31.40        0.21
2        37.56        6.18
3        36.93        -0.19
4        29.36        0.47
5        11.63        6.62
6        1.16        13.21
7        0.79        17.48
8        3.66        22.04
9        3.84        24.18
10        5.91        27.13
11        6.11        28.87
12        7.15        30.79
13        7.55        32.22
14        8.65        33.64
15        9.39        34.90
16        9.76        35.69
17        10.51        36.59
18        10.78        37.14
19        11.05        37.96
20        1.17        37.97
