Bd        CG/HBCS        CG/ScaleStar
1        36.01        3.84
2        46.18        15.25
3        39.48        1.83
4        26.14        8.36
5        6.70        15.58
6        1.78        20.90
7        0.48        25.46
8        1.80        28.23
9        3.32        30.58
10        4.51        32.68
11        5.25        34.41
12        6.56        36.17
13        7.75        37.44
14        8.67        38.48
15        9.15        39.30
16        8.75        39.88
17        9.44        40.74
18        9.36        41.07
19        10.01        41.75
20        2.01        41.81
