1	0	1.39
1	1	9.07
1	2	7.02
1	3	17.03
1	4	10.83
1	5	10.06
1	6	4.67
1	7	0.21
1	8	2.38
1	9	3.84
1	10	4.40
1	11	5.10
1	12	6.12
1	13	10.92
1	14	9.40
1	15	6.98
1	16	5.60
1	17	3.63
1	18	10.43
1	19	16.02

2	0	3.31
2	1	10.26
2	2	1.56
2	3	2.58
2	4	2.77
2	5	3.88
2	6	0.44
2	7	6.18
2	8	14.58
2	9	15.25
2	10	8.25
2	11	2.31
2	12	0.20
2	13	2.60
2	14	2.64
2	15	1.59
2	16	0.08
2	17	-0.33
2	18	1.15
2	19	4.83

3	0	2.47
3	1	4.91
3	2	3.55
3	3	1.76
3	4	7.50
3	5	8.94
3	6	3.78
3	7	-0.19
3	8	1.19
3	9	1.83
3	10	-0.18
3	11	2.36
3	12	5.89
3	13	5.63
3	14	7.05
3	15	9.28
3	16	11.04
3	17	13.03
3	18	14.60
3	19	16.99

4	0	0.59
4	1	5.01
4	2	5.99
4	3	12.99
4	4	0.93
4	5	0.49
4	6	-0.10
4	7	0.47
4	8	5.00
4	9	8.36
4	10	7.25
4	11	9.82
4	12	14.38
4	13	16.13
4	14	16.66
4	15	18.19
4	16	19.81
4	17	21.33
4	18	22.08
4	19	24.33

5	0	3.57
5	1	13.26
5	2	8.51
5	3	0.67
5	4	0.06
5	5	3.39
5	6	4.23
5	7	6.62
5	8	10.13
5	9	15.58
5	10	15.93
5	11	17.68
5	12	21.10
5	13	21.98
5	14	22.54
5	15	24.24
5	16	25.71
5	17	26.63
5	18	27.33
5	19	29.03

6	0	-2.73
6	1	11.60
6	2	-0.34
6	3	0.10
6	4	4.61
6	5	6.95
6	6	9.61
6	7	13.21
6	8	16.49
6	9	20.90
6	10	20.26
6	11	22.77
6	12	25.78
6	13	26.17
6	14	26.99
6	15	28.07
6	16	29.46
6	17	30.10
6	18	30.82
6	19	32.63

7	0	-1.46
7	1	1.34
7	2	-0.25
7	3	4.71
7	4	7.62
7	5	12.11
7	6	15.50
7	7	17.48
