Bd        CG/HBCS        CG/ScaleStar
1        43.30        9.40
2        44.35        2.64
3        36.94        7.05
4        20.95        16.66
5        6.37        22.54
6        -0.22        26.99
7        1.48        30.29
8        3.06        32.56
9        4.03        34.53
10        4.61        36.01
11        5.81        37.38
12        6.61        38.54
13        6.94        39.31
14        7.69        40.19
15        8.15        40.91
16        8.16        41.41
17        8.30        41.96
18        8.61        42.47
19        8.46        42.77
20        0.79        42.92
