Bd        CG/HBCS        CG/ScaleStar
1        28.78        4.67
2        29.00        0.44
3        34.34        3.78
4        28.59        -0.10
5        15.54        4.23
6        2.89        9.61
7        1.78        15.50
8        2.67        18.61
9        5.53        22.99
10        5.73        24.56
11        7.15        27.31
12        8.13        29.13
13        9.10        30.57
14        9.64        32.04
15        10.36        33.12
16        11.11        34.34
17        11.33        35.14
18        11.32        35.81
19        12.10        36.66
20        0.00        36.74
