Bd        CG/HBCS        CG/ScaleStar
1        17.06        9.07
2        32.90        10.26
3        32.38        4.91
4        31.39        5.01
5        35.85        13.26
6        32.32        11.60
7        20.47        1.34
8        10.18        3.82
9        7.62        2.45
10        7.71        6.44
11        5.86        6.46
12        1.89        7.04
13        1.58        10.62
14        3.91        14.40
15        6.17        16.23
16        7.59        17.63
17        8.90        19.80
18        6.41        18.52
19        11.10        22.41
20        0.00        22.31
