Bd        CG/HBCS        CG/ScaleStar
1        38.66        6.12
2        41.88        0.20
3        34.11        5.89
4        22.17        14.38
5        4.22        21.10
6        -0.40        25.78
7        0.90        29.30
8        2.89        31.84
9        4.16        33.82
10        5.35        35.56
11        6.08        37.08
12        6.89        38.30
13        7.13        39.00
14        8.12        40.04
15        8.73        40.93
16        9.18        41.61
17        9.30        41.98
18        9.58        42.62
19        9.66        42.96
20        0.00        43.13
