Bd        CG/HBCS        CG/ScaleStar
1        37.54        4.40
2        45.20        8.25
3        35.31        -0.18
4        21.95        7.25
5        11.99        15.93
6        -0.58        20.26
7        0.38        24.21
8        2.61        27.57
9        3.90        29.93
10        5.21        31.79
11        6.54        33.59
12        7.29        34.90
13        7.99        36.16
14        8.05        37.07
15        8.29        37.81
16        9.07        38.83
17        9.75        39.47
18        10.38        40.04
19        10.80        40.57
20        0.00        40.67
