Bd        CG/HBCS        CG/ScaleStar
1        26.51        10.83
2        27.55        2.77
3        27.59        7.50
4        25.05        0.93
5        19.89        0.06
6        16.17        4.61
7        1.75        7.62
8        1.52        12.11
9        4.06        17.04
10        4.24        18.74
11        6.00        21.49
12        8.60        24.71
13        9.32        26.02
14        10.18        27.41
15        12.26        29.60
16        13.19        30.87
17        13.22        31.62
18        14.32        32.97
19        14.48        33.76
20        0.00        33.92
