Bd        CG/HBCS        CG/ScaleStar
1        42.44        6.98
2        43.66        1.59
3        35.81        9.28
4        19.73        18.19
5        2.45        24.24
6        -0.23        28.07
7        1.80        31.35
8        3.37        33.72
9        4.93        35.69
10        5.68        37.27
11        5.91        38.22
12        6.42        39.25
13        6.75        40.06
14        7.02        40.83
15        7.12        41.33
16        7.68        42.08
17        8.00        42.56
18        8.54        43.06
19        8.39        43.36
20        0.82        43.54
