Bd        CG/HBCS        CG/ScaleStar
1        40.72        3.63
2        45.68        -0.33
3        35.63        13.03
4        18.41        21.33
5        -0.49        26.63
6        0.21        30.10
7        2.13        33.12
8        3.13        35.25
9        4.47        37.02
10        5.26        38.28
11        5.63        39.28
12        5.95        40.09
13        6.39        40.93
14        6.66        41.52
15        7.56        42.42
16        7.79        42.89
17        7.86        43.27
18        7.93        43.61
19        7.96        43.92
20        0.83        44.12
