Bd        CG/HBCS        CG/ScaleStar
1        44.11        10.92
2        46.50        2.60
3        38.15        5.63
4        25.54        16.13
5        3.27        21.98
6        -1.14        26.17
7        0.65        29.49
8        2.19        32.04
9        3.46        34.11
10        5.00        36.13
11        5.33        36.98
12        6.14        38.14
13        6.73        39.28
14        7.15        40.07
15        7.95        41.02
16        7.89        41.48
17        8.26        42.03
18        8.42        42.47
19        8.41        42.82
20        1.58        42.95
