Bd        CG/HBCS        CG/ScaleStar
1        30.76        10.06
2        30.54        3.88
3        34.28        8.94
4        26.50        0.49
5        22.50        3.39
6        7.92        6.95
7        0.40        12.11
8        3.17        17.61
9        4.15        20.24
10        6.03        23.69
11        6.63        25.36
12        7.45        27.12
13        9.11        29.44
14        9.98        30.76
15        10.66        31.95
16        11.99        33.52
17        12.29        34.10
18        12.76        35.18
19        13.47        36.14
20        1.24        36.14
