Bd        CG/HBCS        CG/ScaleStar
1        47.01        10.43
2        46.24        1.15
3        36.92        14.60
4        17.54        22.08
5        -0.37        27.33
6        0.60        30.82
7        1.73        33.62
8        3.29        35.75
9        3.99        37.14
10        4.74        38.41
11        5.51        39.53
12        6.27        40.51
13        6.85        41.36
14        7.15        42.02
15        7.15        42.56
16        7.37        43.03
17        7.35        43.41
18        7.48        43.75
19        7.60        44.06
20        0.00        44.21
